Ride,Date/Time,Wait Time
TRON Lightcycle / Run,2023-03-20 13:43:26,66
TRON Lightcycle / Run,2023-03-20 13:45:17,66
TRON Lightcycle / Run,2023-03-20 13:48:27,67
TRON Lightcycle / Run,2023-03-20 13:50:16,67
TRON Lightcycle / Run,2023-03-20 13:53:26,68
TRON Lightcycle / Run,2023-03-20 13:55:16,68
TRON Lightcycle / Run,2023-03-20 13:58:26,69
TRON Lightcycle / Run,2023-03-20 14:00:16,70
TRON Lightcycle / Run,2023-03-20 14:03:26,71
TRON Lightcycle / Run,2023-03-20 14:05:16,72
TRON Lightcycle / Run,2023-03-20 14:08:26,72
TRON Lightcycle / Run,2023-03-20 14:10:16,73
TRON Lightcycle / Run,2023-03-20 14:14:26,73
TRON Lightcycle / Run,2023-03-20 14:15:17,74
TRON Lightcycle / Run,2023-03-20 14:18:26,74
TRON Lightcycle / Run,2023-03-20 14:20:16,75
TRON Lightcycle / Run,2023-03-20 14:23:26,75
TRON Lightcycle / Run,2023-03-20 14:25:17,76
TRON Lightcycle / Run,2023-03-20 14:28:26,77
TRON Lightcycle / Run,2023-03-20 14:30:17,77
TRON Lightcycle / Run,2023-03-20 14:33:26,79
TRON Lightcycle / Run,2023-03-20 14:35:17,80
TRON Lightcycle / Run,2023-03-20 14:38:26,80
TRON Lightcycle / Run,2023-03-20 14:40:16,81
TRON Lightcycle / Run,2023-03-20 14:43:26,81
TRON Lightcycle / Run,2023-03-20 14:45:16,82
TRON Lightcycle / Run,2023-03-20 14:48:27,83
TRON Lightcycle / Run,2023-03-20 14:50:16,83
TRON Lightcycle / Run,2023-03-20 14:53:26,84
TRON Lightcycle / Run,2023-03-20 14:55:16,85
TRON Lightcycle / Run,2023-03-20 14:58:26,85
TRON Lightcycle / Run,2023-03-20 15:00:16,86
TRON Lightcycle / Run,2023-03-20 15:03:27,86
TRON Lightcycle / Run,2023-03-20 15:05:17,87
TRON Lightcycle / Run,2023-03-20 15:08:26,88
TRON Lightcycle / Run,2023-03-20 15:10:17,88
TRON Lightcycle / Run,2023-03-20 15:14:26,89
